# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Mon Oct 21 16:28:59 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
#Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 8.30103 0.3500000238 2.0434175133    0.350 -1.893  3.5131  4.880    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.96e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.503 10.451 11.885 9.281
0.0152 0.01508 8.30103 0.4000000358 2.1185024810    0.400 -1.750  3.5252  4.843    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.145 10.002 11.332 8.869
0.0152 0.01508 8.30103 0.4500000477 2.1822809714    0.450 -1.602  3.5396  4.803    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.774 9.534 10.757 8.441
0.0152 0.01508 8.30103 0.5000000000 2.2374541529    0.500 -1.449  3.5564  4.763    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.65e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.391 9.047 10.161 8.002
0.0152 0.01508 8.30103 0.5204311609 2.2575686646    0.520 -1.384  3.5639  4.746    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.07e-15      0.00 7.093e-01 2.754e-01 2.745e-03 7.406e-04 6.717e-03 -1.000 1.527e-02 8.231 8.840 9.907 7.817
0.0152 0.01508 8.30103 0.5500000119 2.2836582633    0.550 -1.301  3.5743  4.728    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.69e-15      0.00 7.095e-01 2.752e-01 2.743e-03 7.399e-04 6.711e-03 -1.000 1.523e-02 8.023 8.568 9.574 7.576
0.0152 0.01508 8.30103 0.5554091334 2.2880865484    0.555 -1.286  3.5764  4.726    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.81e-15      0.00 7.095e-01 2.752e-01 2.743e-03 7.399e-04 6.711e-03 -1.000 1.522e-02 7.986 8.519 9.513 7.533
0.0152 0.01508 8.30103 0.5774146318 2.3051224001    0.577 -1.228  3.5840  4.715    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.31e-15      0.00 7.096e-01 2.752e-01 2.742e-03 7.398e-04 6.710e-03 -1.000 1.520e-02 7.839 8.330 9.283 7.365
0.0152 0.01508 8.30103 0.6000000238 2.3211213258    0.600 -1.157  3.5941  4.701    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.06e-15      0.00 7.096e-01 2.752e-01 2.742e-03 7.398e-04 6.710e-03 -1.000 1.519e-02 7.662 8.099 9.003 7.163
0.0152 0.01508 8.30103 0.6362590790 2.3440953003    0.636 -1.041  3.6133  4.688    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.5e-15      0.00 7.096e-01 2.751e-01 2.742e-03 7.397e-04 6.709e-03 -1.000 1.525e-02 7.373 7.717 8.535 6.831
0.0152 0.01508 8.30103 0.6499999762 2.3520353107    0.650 -0.999  3.6203  4.684    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.12e-15      0.00 7.096e-01 2.751e-01 2.742e-03 7.397e-04 6.708e-03 -1.000 1.527e-02 7.268 7.579 8.367 6.712
0.0152 0.01508 8.30103 0.7000000477 2.3779267258    0.700 -0.847  3.6473  4.671    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.91e-15      0.00 7.097e-01 2.750e-01 2.741e-03 7.394e-04 6.707e-03 -1.000 1.524e-02 6.887 7.068 7.737 6.279
0.0152 0.01508 8.30103 0.7144173384 2.3846226573    0.715 -0.804  3.6551  4.668    0  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-14      0.00 7.098e-01 2.750e-01 2.730e-03 7.390e-04 6.706e-03 -1.000 1.523e-02 6.780 6.924 7.560 6.158
0.0152 0.01508 8.30103 0.7421562076 2.3966680838    0.742 -0.724  3.6697  4.663    0  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-14      0.00 7.099e-01 2.748e-01 2.708e-03 7.382e-04 6.704e-03 -1.000 1.526e-02 6.580 6.662 7.242 5.937
0.0152 0.01508 8.30103 0.7500000000 2.3998889087    0.750 -0.702  3.6741  4.664    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-14      0.00 7.098e-01 2.749e-01 2.704e-03 7.383e-04 6.706e-03 -1.000 1.526e-02 6.525 6.590 7.155 5.877
0.0152 0.01508 8.30103 0.8000000119 2.4187244405    0.800 -0.573  3.6940  4.642    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-14      0.00 7.099e-01 2.749e-01 2.703e-03 7.381e-04 6.704e-03 -1.000 1.526e-02 6.204 6.202 6.704 5.540
0.0152 0.01508 8.30103 0.8500000238 2.4350346840    0.850 -0.452  3.7127  4.622    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.36e-14      0.00 7.100e-01 2.748e-01 2.702e-03 7.379e-04 6.703e-03 -1.000 1.519e-02 5.899 5.848 6.299 5.232
0.0152 0.01508 8.30103 0.9000000358 2.4492786175    0.899 -0.337  3.7297  4.599    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.06e-14      0.00 7.101e-01 2.746e-01 2.701e-03 7.376e-04 6.699e-03 -1.000 1.524e-02 5.611 5.527 5.937 4.948
0.0152 0.01508 8.30103 0.9500000477 2.4618122009    0.950 -0.227  3.7448  4.574    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.95e-14      0.00 7.103e-01 2.744e-01 2.700e-03 7.372e-04 6.696e-03 -1.000 1.523e-02 5.338 5.231 5.606 4.688
0.0152 0.01508 8.30103 1.0000000000 2.4729154477    1.000 -0.118  3.7588  4.544    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.11e-14      0.00 7.106e-01 2.742e-01 2.698e-03 7.367e-04 6.691e-03 -1.000 1.522e-02 5.066 4.947 5.289 4.437
0.0152 0.01508 8.30103 1.0499999523 2.4828114860    1.050 -0.015  3.7714  4.512    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -6.1e-14      0.00 7.109e-01 2.739e-01 2.695e-03 7.359e-04 6.685e-03 -1.000 1.518e-02 4.808 4.682 4.996 4.202
0.0152 0.01508 8.30103 1.1000000238 2.4916801480    1.099  0.083  3.7830  4.480    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.15e-14      0.00 7.115e-01 2.733e-01 2.690e-03 7.347e-04 6.673e-03 -1.000 1.521e-02 4.561 4.433 4.721 3.981
0.0152 0.01508 8.30103 1.1499999762 2.4996678137    1.149  0.177  3.7934  4.447    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.26e-14      0.00 7.123e-01 2.726e-01 2.684e-03 7.330e-04 6.658e-03 -1.000 1.509e-02 4.328 4.199 4.465 3.772
0.0152 0.01508 8.30103 1.2000000477 2.5068948796    1.200  0.268  3.8033  4.415    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.38e-14      0.00 7.124e-01 2.725e-01 2.684e-03 7.331e-04 6.659e-03 -1.000 1.513e-02 4.101 3.974 4.220 3.572
0.0152 0.01508 8.30103 1.2500000000 2.5134610955    1.250  0.354  3.8129  4.384    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-13      0.00 7.125e-01 2.724e-01 2.684e-03 7.331e-04 6.660e-03 -1.000 1.512e-02 3.886 3.761 3.989 3.382
0.0152 0.01508 8.30103 1.2999999523 2.5194498592    1.300  0.435  3.8220  4.357    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-13      0.00 7.126e-01 2.723e-01 2.684e-03 7.329e-04 6.658e-03 -1.000 1.513e-02 3.682 3.559 3.770 3.201
0.0152 0.01508 8.30103 1.3500001431 2.5249313723    1.350  0.512  3.8314  4.334    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-13      0.00 7.125e-01 2.724e-01 2.684e-03 7.330e-04 6.659e-03 -1.000 1.510e-02 3.490 3.368 3.564 3.032
0.0152 0.01508 8.30103 1.4000000954 2.5299650415    1.400  0.585  3.8410  4.315    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-13      0.00 7.125e-01 2.724e-01 2.683e-03 7.330e-04 6.658e-03 -1.000 1.510e-02 3.307 3.188 3.368 2.874
0.0152 0.01508 8.30103 1.4500000477 2.5346015836    1.450  0.655  3.8515  4.303    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-13      0.00 7.126e-01 2.722e-01 2.683e-03 7.328e-04 6.657e-03 -1.000 1.514e-02 3.134 3.019 3.182 2.730
0.0152 0.01508 8.30103 1.5000000000 2.5388844597    1.500  0.722  3.8636  4.299    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-13      0.00 7.127e-01 2.721e-01 2.682e-03 7.325e-04 6.655e-03 -1.000 1.515e-02 2.966 2.857 3.001 2.597
0.0152 0.01508 8.30103 1.5499999523 2.5428511323    1.550  0.786  3.8769  4.302    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.32e-14      0.00 7.128e-01 2.720e-01 2.681e-03 7.323e-04 6.652e-03 -1.000 1.514e-02 2.805 2.704 2.829 2.477
0.0152 0.01508 8.30103 1.6000000238 2.5465340628    1.600  0.848  3.8899  4.306    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.02e-14      0.00 7.130e-01 2.719e-01 2.680e-03 7.321e-04 6.651e-03 -1.000 1.513e-02 2.651 2.560 2.665 2.365
0.0152 0.01508 8.30103 1.6368125677 2.5490808652    1.636  0.891  3.8990  4.309    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-14      0.00 7.130e-01 2.719e-01 2.680e-03 7.319e-04 6.650e-03 -1.000 1.511e-02 2.541 2.459 2.552 2.288
0.0152 0.01508 8.30103 1.6500000954 2.5499614852    1.649  0.907  3.9022  4.309    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.95e-14      0.00 7.130e-01 2.719e-01 2.680e-03 7.319e-04 6.649e-03 -1.000 1.511e-02 2.503 2.425 2.512 2.261
0.0152 0.01508 8.30103 1.7000000477 2.5531580802    1.699  0.964  3.9137  4.311    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.131e-01 2.718e-01 2.679e-03 7.318e-04 6.648e-03 -1.000 1.511e-02 2.361 2.298 2.370 2.163
0.0152 0.01508 8.30103 1.7500000000 2.5561455243    1.749  1.018  3.9243  4.312    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.132e-01 2.717e-01 2.678e-03 7.316e-04 6.646e-03 -1.000 1.509e-02 2.225 2.179 2.236 2.071
0.0152 0.01508 8.30103 1.7999999523 2.5589429085    1.799  1.071  3.9341  4.311    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.133e-01 2.716e-01 2.678e-03 7.314e-04 6.645e-03 -1.000 1.513e-02 2.094 2.068 2.113 1.983
0.0152 0.01508 8.30103 1.8451408148 2.5613192560    1.844  1.116  3.9424  4.309    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.133e-01 2.716e-01 2.678e-03 7.313e-04 6.644e-03 -1.000 1.512e-02 1.979 1.975 2.010 1.908
0.0152 0.01508 8.30103 1.8500000238 2.5615671203    1.849  1.121  3.9432  4.309    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.133e-01 2.716e-01 2.677e-03 7.313e-04 6.644e-03 -1.000 1.511e-02 1.967 1.965 2.000 1.900
0.0152 0.01508 8.30103 1.9000000954 2.5640331317    1.899  1.170  3.9516  4.305    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.133e-01 2.716e-01 2.677e-03 7.313e-04 6.643e-03 -1.000 1.510e-02 1.845 1.867 1.893 1.818
0.0152 0.01508 8.30103 1.9500001669 2.5663542767    1.950  1.218  3.9596  4.301    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.134e-01 2.715e-01 2.677e-03 7.312e-04 6.642e-03 -1.000 1.510e-02 1.726 1.774 1.793 1.739
0.0152 0.01508 8.30103 1.9554954767 2.5666010720    1.955  1.223  3.9604  4.300    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.134e-01 2.715e-01 2.677e-03 7.312e-04 6.642e-03 -1.000 1.509e-02 1.713 1.764 1.782 1.730
0.0152 0.01508 8.30103 2.0000000000 2.5685424513    2.000  1.264  3.9671  4.295    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.134e-01 2.715e-01 2.677e-03 7.311e-04 6.642e-03 -1.000 1.508e-02 1.610 1.685 1.698 1.661
0.0152 0.01508 8.30103 2.0499999523 2.5706083333    2.050  1.310  3.9743  4.289    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.135e-01 2.714e-01 2.676e-03 7.310e-04 6.641e-03 -1.000 1.511e-02 1.496 1.599 1.607 1.587
0.0152 0.01508 8.30103 2.0999999046 2.5725614918    2.099  1.354  3.9813  4.283    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.135e-01 2.714e-01 2.676e-03 7.310e-04 6.641e-03 -1.000 1.508e-02 1.385 1.517 1.519 1.513
0.0152 0.01508 8.30103 2.1214740276 2.5733679111    2.120  1.373  3.9841  4.280    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.135e-01 2.714e-01 2.676e-03 7.309e-04 6.640e-03 -1.000 1.507e-02 1.338 1.482 1.482 1.482
0.0152 0.01508 8.30103 2.1500000954 2.5744105556    2.149  1.398  3.9879  4.276    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.135e-01 2.714e-01 2.676e-03 7.309e-04 6.640e-03 -1.000 1.507e-02 1.276 1.436 1.434 1.441
0.0152 0.01508 8.30103 2.2000000477 2.5761632879    2.199  1.440  3.9943  4.269    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.135e-01 2.714e-01 2.676e-03 7.309e-04 6.640e-03 -1.000 1.510e-02 1.169 1.357 1.351 1.370
0.0152 0.01508 8.30103 2.2500000000 2.5778267375    2.249  1.482  4.0004  4.261    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.135e-01 2.713e-01 2.676e-03 7.309e-04 6.639e-03 -1.000 1.514e-02 1.065 1.281 1.271 1.301
0.0152 0.01508 8.30103 2.2999999523 2.5794072884    2.299  1.523  4.0064  4.253    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.136e-01 2.714e-01 2.676e-03 7.308e-04 6.639e-03 -1.000 1.507e-02 0.961 1.205 1.192 1.231
0.0152 0.01508 8.30103 2.3952295780 2.5822087595    2.394  1.600  4.0170  4.237    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.136e-01 2.713e-01 2.676e-03 7.308e-04 6.639e-03 -1.000 1.507e-02 0.770 1.064 1.045 1.100
0.0152 0.01508 8.30103 2.4000000954 2.5823423892    2.399  1.604  4.0176  4.236    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.136e-01 2.713e-01 2.676e-03 7.308e-04 6.639e-03 -1.000 1.507e-02 0.760 1.056 1.037 1.093
0.0152 0.01508 8.30103 2.5067179203 2.5851794988    2.506  1.687  4.0288  4.217    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.114e-01 2.734e-01 2.692e-03 7.353e-04 6.679e-03 -1.000 1.517e-02 0.551 0.902 0.878 0.949
0.0152 0.01508 8.30103 2.5999999046 2.5874412955    2.600  1.759  4.0380  4.198    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.372 0.768 0.740 0.822
0.0152 0.01508 8.30103 2.6340291500 2.5882206790    2.634  1.785  4.0412  4.191    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.308 0.720 0.690 0.776
0.0152 0.01508 8.30103 2.7450439930 2.5906095170    2.745  1.867  4.0507  4.164    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.102 0.561 0.527 0.625
0.0152 0.01508 8.30103 2.8000001907 2.5917117867    2.800  1.907  4.0551  4.150    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.002 0.483 0.447 0.549
0.0152 0.01508 8.30103 2.8067667484 2.5918440772    2.807  1.912  4.0557  4.149    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 -0.010 0.473 0.438 0.540
0.0152 0.01508 8.30103 2.9110887051 2.5937944654    2.911  1.988  4.0633  4.120    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 -0.199 0.323 0.285 0.395
0.0152 0.01508 8.30103 2.9957768917 2.5952634364    2.996  2.049  4.0686  4.092    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 -0.352 0.197 0.157 0.273
0.0152 0.01508 8.30103 3.0000000000 2.5953341962    3.000  2.052  4.0689  4.091    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 -0.360 0.191 0.150 0.266
0.0152 0.01508 8.30103 3.0812976360 2.5966530099    3.081  2.110  4.0733  4.062    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 -0.505 0.068 0.025 0.146
0.0152 0.01508 8.30103 3.1510434151 2.5977222807    3.151  2.160  4.0765  4.035    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 -0.629 -0.040 -0.084 0.040
0.0152 0.01508 8.30103 3.2000000477 2.5984409005    3.199  2.194  4.0783  4.014    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 -0.716 -0.118 -0.162 -0.036
