GaiaID,ra,dec,l,b,ecl_lon,ecl_lat,pmra,pmdec,phot_g_mean_mag,ag_gspphot,bp_rp,ebpminrp,parallax,distance_gspphot,ruwe,radial_velocity,radial_velocity_error,vbroad,x,y,z,Type,HD,TIC,Vmag,B-V,V-I,MemF,comments,Voff(km/s),Vr(pred),SpType,PDA,PDB,PDC,PDO,PDQ,PDZ,Teff,logg,M,e_Teff,e_logg,e_M,comp,logCHe,logL,e_logL,_RA,_DE,grav redshift (km/s),cooling_age_median,cooling_age_err_low,cooling_age_err_high,total_age_median,total_age_err_low,total_age_err_high,initial_mass_median,initial_mass_err_low,initial_mass_err_high,Voff_err,parallax_error,pmra_error,pmdec_error
2989191208160928000,80.40539035639219,-11.243009973898287,213.10283905696912,-24.98018016492605,78.58596754528573,-34.30290755723196,-9.505838915618927,-25.82490442253268,15.680881,,-0.29355526,,10.513032860920935,,1.0605727,,,,-72.22738668865668,-47.0895410359352,-40.16963808716371,,,,,,,,,4.700330097270155,-8.571656441829976,DA,1.0,0.0,0.0,0.0,0.0,0.0,21847,8.105,0.688,231,0.01,0.008,b'Pure H                     ',0.0,-1.5151,-0.1034,80.40539,-11.24301,35.88705518038299,0.0579242419079944,0.0034438185003351,0.0036615092802783,1.0493181237515188,0.3161880136849455,0.4113688703323388,2.300152249134948,0.3506297577854669,0.3282491349480971,0.025268234439791516,0.040863454,0.039035946,0.035332877
3016031622727659392,85.11451171552244,-7.406812147179159,211.5318323884112,-19.13349494153416,84.3604252563776,-30.75050186186873,-22.68965891522019,-17.092987041885415,16.81954,,-0.1093235,,10.754662096800764,,1.0012084,,,,-74.87578606272375,-45.9411813338097,-30.47703911052956,,,,,,,,,3.057448141056707,-9.91738392027636,DA,0.99,0.0,0.0,0.0,0.0,0.0,14854,8.411,0.869,210,0.013,0.011,b'Pure H                     ',0.0,-2.3911,-0.2152,85.11451,-7.40681,57.44766517092375,0.4114533091963267,0.0176831059944914,0.0184772042656908,0.6604593724188565,0.0479889947251028,0.0487125636130632,3.724442906574395,0.229134948096886,0.3011487889273354,0.03001166127702579,0.06130097,0.059408043,0.051426936
3054384241873425280,112.92625504670036,-7.063550695763094,223.85313007326,5.642038717547011,116.08418964954458,-28.450398547792965,4.167567801037807,-30.333484211876453,16.955133,,0.3712654,,15.063513748561215,,1.0517511,,,,-47.639924997973885,-45.76992242987564,6.526570585014624,,,,,,,,,3.1450604788983045,-12.356265304025753,DA,0.99,0.0,0.0,0.0,0.0,0.0,7815,7.884,0.528,93,0.021,0.016,b'Pure H                     ',0.0,-3.1974,-0.2756,112.92625,-7.06355,24.44599137019177,1.030389291157362,0.0378632171933581,0.0393076358880744,10.201832366031956,3.552944643990969,3.048840347136052,1.066477508650519,0.0849550173010379,0.1616885813148789,0.02578573649591259,0.06801296,0.0685323,0.06320712
3059277648434674432,109.25315750671334,-4.633081515360709,219.98195987599115,3.5519055738918155,111.57419943093151,-26.64182250189609,-11.44575878069381,-17.53592310325419,19.278254,,0.7076683,,11.302046237261491,,1.0308084,,,,-67.66694108772762,-56.74300830495881,5.481551437206788,,,,,,,,,2.982465970145172,-12.625520265923615,DA,0.39,0.0,0.17,0.0,0.0,0.05,6250,8.442,0.875,238,0.074,0.065,b'Pure H                     ',0.0,-3.923,-1.2025,109.25316,-4.63308,59.74256359943807,5.01956472480629,0.5778365183439131,0.593854811788149,5.2652175210824685,0.5269552430150064,0.5699831078410105,3.7626574394463663,0.4153356401384078,0.5493148788927336,0.1691463730860546,0.29040214,0.3833148,0.33149227
3068568006291108480,119.85656994795283,-3.9898591650425272,224.47822086433607,13.167951221934576,122.95322005703204,-24.078252578183942,1.369295846903191,-32.67957813733805,18.736668,,0.65813065,,11.737110340825335,,0.995402,,,,-59.19310090748135,-58.12468598682575,19.40905810032724,,,,,,,,,3.959178170376172,-12.991976853086625,DA,0.96,0.0,0.11,0.0,0.0,0.0,6311,8.183,0.704,134,0.041,0.037,b'Pure H                     ',0.0,-3.7419,-0.6198,119.85657,-3.98986,39.78641298885277,3.0082198282572863,0.3744938246522413,0.3987091534462696,4.00351717802361,0.3910265116376412,0.4764113438015203,2.380539792387544,0.4436539792387544,0.3870173010380626,0.08014569164609547,0.1780861,0.17560038,0.12907442
3068568010588919936,119.8551708848618,-3.989499623756626,224.4772018501992,13.166905915335064,122.95164234828376,-24.07820430792657,-2.3223407418810766,-31.57292109192269,18.044146,,0.46816826,,11.665087167939411,,0.99767226,,,,-59.55986829375997,-58.48275271707004,19.52737162405446,,,,,,,,,3.611624376778975,-12.992031329587938,DA,1.0,0.0,0.0,0.0,0.0,0.0,7239,8.048,0.621,122,0.031,0.027,b'Pure H                     ',0.0,-3.4224,-0.4354,119.85517,-3.9895,31.96425011582083,1.543842469098384,0.0941123163205819,0.1002218175034495,4.48791105864407,1.4043203227420635,3.867456848737458,1.4949065743944638,0.3361660899653982,0.3946297577854669,0.05001089234878717,0.1132645,0.11562483,0.085692845
3091044532222339584,122.4186311813697,2.751511265679488,219.5831584760088,18.63243804502018,124.03982218785524,-16.939063685427033,-0.3651867168986378,-8.956921953997309,18.229609,,0.45584297,,14.24809377950048,,0.94380754,,,,-51.25642625757169,-42.37763227770441,22.42376017692193,,,,,,,,,4.775284232731444,-13.988320552033612,DA,0.95,0.0,0.01,0.0,0.0,0.0,7556,8.533,0.937,154,0.032,0.027,b'Pure H                     ',0.0,-3.6547,-0.5509,122.41863,2.75151,68.65770088199056,3.556372195617021,0.206778369962902,0.209504016090932,3.7258389940911294,0.1999054659260517,0.2016032007787109,4.364193771626297,0.4086366782006916,0.4272110726643605,0.05915878586738328,0.14791462,0.14949758,0.09652292
3145558765403949184,116.94921504683349,8.212274783750065,211.9018805216104,16.23461863390763,117.37469599996714,-12.702673555583274,5.675341753428595,-22.02244480252512,19.702538,,1.2277641,,11.14055695053858,,0.9507432,,,,-73.16530426612394,-45.544722800402695,25.09490993544862,,,,,,,,,4.448660977598806,-14.640239362800973,DA,0.8,0.0,0.01,0.0,0.0,0.2,4758,7.829,0.479,184,0.11,0.09,b'Pure H                     ',0.0,-4.0452,-1.4391,116.94921,8.21227,21.81725741090841,4.224936780282421,0.8922604005269403,1.342103015087738,,,,,,,0.266070601043341,0.47707906,0.51296544,0.3248656
3183069708393525248,75.37778276513532,-9.986313119098392,209.4673081359635,-28.917492094758625,72.84374279987175,-32.558835012005616,-30.00546385661223,-14.654861474520269,15.737765,,-0.24578667,,10.897790352198662,,1.0157251,,,,-69.93003844368982,-39.51185621718502,-44.371346826704006,,,,,,,,,4.91580952088125,-7.997909375004202,DA,0.99,0.0,0.0,0.0,0.0,0.0,19000,8.026,0.636,221,0.011,0.009,b'Pure H                     ',0.0,-1.714,-0.1293,75.37778,-9.98631,31.54859946660416,0.0895347017782141,0.004919351530318,0.0052053518766848,2.139857021857661,0.6961895037445498,2.365394054949926,1.67760553633218,0.3580899653979239,0.3580899653979241,0.023382281549806982,0.03756823,0.03962002,0.03446438
3231208075508427648,70.56048372810102,1.5609393055351233,195.34634160508,-27.5780506032201,69.19754986260739,-20.485451921751903,-33.113344029222766,-29.906980419610186,18.998116,,1.0311375,,12.683277216566818,,1.055126,,,,-67.39393122374867,-18.49549484543463,-36.501331490997686,,,,,,,,,3.615770717458284,-8.977439499375691,DA,0.51,0.0,0.06,0.0,0.0,0.0,5211,7.878,0.51,84,0.048,0.039,b'Pure H                     ',0.0,-3.9084,-0.5999,70.56048,1.56094,23.80280228988308,3.508202068578134,0.5170629675442138,0.5934925759750147,,,,,,,0.11742351645696177,0.25898674,0.27988866,0.22677203
