GaiaID,TIC,HD,index,ra,dec,l,b,ecl_lon,ecl_lat,pmra,pmdec,bp_rp,ebpminrp,bp_rp_corr,phot_g_mean_mag,ag_gspphot,parallax,distance_gspphot,ruwe,vbroad,x,y,z,radial_velocity,radial_velocity_error,Voff(km/s),Vr(pred),rvdiff,Type,Vmag,Median_Period,Period_err,LC_source,Period_notes,B-V,V-I,MemF,comments,Teff
107114427073651584,5720689,,17.0,33.13221857482144,26.864121179234587,144.45551000838876,-32.595961803446194,40.01165135407147,12.746466516917843,-28.62997201809765,-25.90280565553509,1.3042355,0.0241,1.2801355,11.25318,0.046,11.846275814552495,84.4079,0.9851537,12.988848,-57.86665745748324,41.34371795423242,-45.475170104420606,-5.6158547,0.5327569,3.824485671868018,-4.337236320189286,1.2786183798107142,,,10.536632310861028,0.4446198693796175,QLP,QLP has best fitsm excl sec 85,,,,,4600.0
1077122890975062272,142519290,,312.0,163.36302302578983,72.40520472429684,134.48056822761953,41.97534142932143,122.27604584359716,57.15434885445431,28.91209202547323,18.8109602337794,0.6372194,0.0002,0.6370194,8.6335535,0.0004,10.794394476358011,92.3491,0.96543044,12.318248,-48.256437737341045,49.13943289279122,61.95907664976862,-15.586571,0.1834609,3.678263848607037,-11.005716535821495,4.580854464178504,,,2.1777844918459417,0.0376859212254947,TESS-SPOC,TESS-SPOC sec 14 & 20 has best fits,,,,,6350.0
1083595136107893632,80949873,,313.0,122.02124877554444,59.60796317332584,157.56144847613876,32.75958516207453,110.00893985046552,38.373337736121336,-12.906149651457913,51.78322873483648,2.8385792,0.0049,2.8336792,13.49825,0.0071,30.555051599020484,32.5927,1.2275978,,-25.438667631409263,10.505091982344824,17.709515615720843,-15.643394,0.9983584,2.417804681216168,-14.111789832892494,1.5316041671075062,,,2.666519922226627,0.0009944926507481,SPOC,,,,,,3270.0
1092545710514654464,417762326,72905.0,316.0,129.79848216263676,65.02129699890843,150.55127611012884,35.70399283596731,112.32495031002992,44.63685744584888,-27.27447101767192,87.88083046986,0.804358,0.0,0.804358,5.4989767,0.0,69.2575995687921,14.4485,1.1658813,12.0587015,-10.210052132875743,5.7645134528773925,8.426480359677658,-13.056344,0.11686565,4.8337200798309725,-13.268751867928373,0.2124078679283734,Probable Activity-Based Members,5.64,4.979628298357521,0.0992367114732477,QLP,"QLP has best fits, excl 74",0.616,0.66,Y?,,5860.0
1133353122506604928,156168568,,329.0,172.57637868212592,81.03741712927487,126.73475233196896,35.48357235251405,110.58206422657868,63.93201152688103,34.11427459665435,26.400676849901764,0.66665363,0.0002,0.66645363,8.298712,0.0004,13.535417832678608,73.7268,0.8045143,7.618899,-35.981991840656995,48.212488423272674,42.88523033709653,-12.576502,0.17954616,2.589365344193608,-9.582504956849526,2.9939970431504737,,,3.463760564229318,0.1510481900726592,QLP,"QLP sec 14, 40, 53, 73, 74 has best fits",,,,,6280.0
1182635948082088064,98506634,,342.0,227.6131423861671,13.466813874091317,17.112262372106542,54.81631600754129,220.82491043981915,29.95959928655529,101.2408601974434,-65.13188414205308,2.6421375,0.0004,2.6417375,12.545399,0.0006,34.92947887529952,28.58,1.3045169,,15.765802806615374,4.853888011714935,23.398832190610577,2.935888,0.97717994,0.7704329365292651,1.935071058787031,1.0008169412129688,,,1.808211365,0.0,SPOC,run on narrower range,,,,,3270.0
1231859400030491136,310395457,,363.0,213.56826872549308,15.359967105633144,5.691846102451727,67.44803499934808,205.5340266442238,27.07212054825447,20.903366868817745,-15.924959744508794,0.8901777,0.0336,0.8565777,10.132625,0.0631,10.254169332303409,97.1042,0.92475724,8.381123,37.21708778758626,3.709410069772922,90.06405530733221,-2.0040686,0.3217397,4.033175764118792,-1.525460545491936,0.478608054508064,,,9.123784835976329,0.0,TESS-SPOC,TESS-SPOC sec 50 has best fits,,,,,5660.0
1252463526380666240,135170448,,373.0,214.04723404792952,21.242659019271755,20.57289358311725,69.82675474972181,203.4286098119998,32.68329136226081,49.79029896617705,-13.633623024724244,0.62330914,0.0002,0.6231091400000001,7.50275,0.0005,17.865586921287154,55.9027,1.0569195,28.953978,18.071994465406124,6.783060148380719,52.53978861650344,-2.736177,0.193831,4.51419954610044,-2.2593958759559056,0.4767811240440944,,,0.8726202032309385,0.0006923271869596,TESS-SPOC,TESS-SPOC has best fits,,,,,6350.0
1294180681166142720,68059955,,379.0,220.5203003201657,36.59940736300988,61.90819255329975,64.78410213152134,201.5817931998745,48.98187292563241,34.66911061923555,-22.159212569314004,0.8722706,0.0602,0.8120706,9.204396,0.1127,10.572493784345411,91.5355,5.990976,10.984593,18.97486217404733,35.548991842686014,85.57194688848932,0.05759038,0.17576066,2.800023155608942,-3.1022476073055736,3.1598379873055737,,,7.181560230637842,0.0,QLP,sec 24 has best fits,,,,,5860.0
1419999819661235840,198381445,,402.0,257.55214149873774,54.489682632205245,82.2667104264027,36.310291818356106,237.5089878312184,76.52156874790214,86.45009445736092,-103.34307410290272,1.5341768,0.0002,1.5339768,8.8505745,0.0003,47.06917936052006,21.2087,0.9661323,11.463528,2.303693428649591,16.964245766169025,12.580587617206064,2.1025295,0.1425936,2.628835754655197,-1.0391843057121202,3.1417138057121203,,,11.6,1.2,QLP,From Capistrant paper,,,,,4300.0
