Gaia,Prot,BP-RP,E_BP-RP_,RUWE
661326011834490496,22.6,2.623,0.31949999928474426,1.008
661201389064841088,0.25,3.255,,0.932
661137789187131904,0.51,2.999,0.46950000524520874,1.37
661283199601699328,13.98,1.628,0.21459999680519104,0.989
663055371825360000,27.84,0.933,0.04399999976158142,1.211
663002663987903872,17.08,2.187,0.2320999950170517,1.075
662634430672023680,1.63,2.98,0.373199999332428,1.042
659741233329151744,0.33,3.179,0.3215000033378601,1.027
658587467670294784,1.42,3.073,0.44339999556541443,0.925
659669597567160704,28.91,2.703,0.33410000801086426,1.017
662899481693765632,25.7,2.804,,1.098
664926049125744640,24.85,3.455,0.5799000263214111,0.923
659086512807199232,24.24,2.725,0.3450999855995178,1.042
661773375627598208,24.64,2.196,0.25519999861717224,1.065
664895988650515968,0.58,3.043,0.39980000257492065,1.029
659373141744409984,16.89,2.041,0.35100001096725464,1.043
665530406860150912,16.16,1.442,0.10589999705553055,0.969
659674197475355392,1.16,3.397,,1.067
663070971148025728,0.36,2.968,0.375900000333786,0.975
660983750184396672,2.63,3.076,0.5009999871253967,0.98
665650425426585344,10.51,2.494,0.2662999927997589,1.046
659324694513778688,0.43,3.368,0.12849999964237213,1.117
663726280078225152,9.25,2.778,0.3490999937057495,1.023
664641348629985280,12.07,1.186,0.027000000700354576,0.984
666127888351163136,0.67,3.281,,1.033
662003860752394880,1.13,2.703,0.3463999927043915,1.08
689077955900917248,16.79,1.533,,8.509
661486158278348160,0.79,2.984,,1.053
664658700297947008,16.51,2.715,0.34929999709129333,1.041
659321499058103424,7.21,2.906,0.4253999888896942,0.952
661131393979861120,0.88,3.265,0.5580999851226807,0.929
663346531952796416,0.28,3.059,0.2955000102519989,0.958
659920144486898944,0.57,2.978,0.4503999948501587,1.088
666354800062502784,10.69,2.647,0.2973000109195709,0.998
660933073866203264,21.17,2.37,0.2653999924659729,1.018
658316094456944128,0.46,3.248,,
665059403566191872,15.33,2.729,0.3562999963760376,0.969
661699566613242880,0.3,3.3,0.4172999858856201,0.971
659095308900151552,0.58,2.722,0.2955999970436096,1.086
660627753231184128,1.56,2.976,0.4706000089645386,0.971
659364448730632448,1.31,2.973,0.4097000062465668,1.082
658628905514597376,1.88,0.627,0.15929999947547913,1.077
661026738512909440,24.64,2.516,0.29420000314712524,1.003
658436014239681536,1.34,3.116,,1.036
660327960217390848,1.49,2.922,0.38499999046325684,0.963
665309233224172800,6.8,2.813,0.38440001010894775,1.063
662172429630090880,12.22,2.739,0.3788999915122986,1.089
666328239984768512,1.08,2.943,0.3831000030040741,1.056
664441615470632064,0.87,3.014,0.31119999289512634,0.918
659241921904072960,0.26,3.404,0.527899980545044,0.997
663782904926907392,14.52,1.683,0.24050000309944153,0.988
658310704273685504,0.93,3.09,,1.001
659225291790784384,24.44,1.609,0.1988999992609024,1.217
665203233431193344,0.58,3.159,0.2556000053882599,1.01
658998483157410432,18.55,2.505,,2.798
661699910210446848,20.31,1.478,0.026799999177455902,2.914
665055623995028864,24.44,2.639,0.33219999074935913,0.918
661270245980335104,0.13,2.882,0.01119999960064888,1.066
665367816577966592,5.83,2.889,,3.877
658776313088864896,9.02,2.98,0.4523000121116638,1.231
661138712604101760,0.29,3.21,,0.953
689130461877120256,18.11,2.189,0.24089999496936798,1.025
663805754152866688,18.55,2.369,0.32030001282691956,1.087
658482051992944512,0.64,3.007,,1.043
659660316141171968,1.74,3.116,,0.936
659571844111412224,1.17,2.637,,
660953998946909952,2.13,2.936,0.43380001187324524,1.017
661264679702825344,14.18,2.717,0.3458000123500824,1.026
658461680964201472,23.12,2.498,0.29429998993873596,1.882
685854913658785024,4.05,2.625,0.3488999903202057,1.094
661547357268446080,27.58,2.351,0.1809999942779541,1.001
661117272127169280,0.46,3.1,0.453900009393692,1.017
677799719675648128,1.62,2.999,0.38370001316070557,0.982
664313384927507968,1.88,2.745,,0.903
660878991637884672,11.65,1.551,0.08720000088214874,0.988
660230348496832128,21.32,2.452,0.28690001368522644,1.027
661490693763838976,1.63,2.952,,0.994
657994143708820736,0.91,2.984,0.37610000371932983,0.952
663140102941534720,0.24,3.374,,1.135
660862052286909312,22.27,2.873,0.39910000562667847,0.998
663883132283474560,0.54,3.059,0.274399995803833,1.018
661278762898468992,1.45,2.78,,1.006
665507969950936064,1.32,3.039,,0.982
662114460454651648,1.14,3.013,0.3499000072479248,1.161
664763085183100160,1.89,2.705,0.2897000014781952,0.986
662915940008482304,1.43,3.016,0.3898000121116638,0.995
660327685339473152,1.88,2.92,,1.049
660455473502515200,17.27,2.66,0.3472999930381775,5.181
663842755294579712,0.2,3.272,0.004800000227987766,1.084
661154522379748480,1.19,3.067,,1.025
685806775664988928,0.31,3.306,0.41280001401901245,0.931
659228173712358272,1.14,2.974,0.018699999898672104,0.963
665490339108666368,0.27,3.279,,1.123
662182909350261632,1.33,3.17,,1.049
686066363488497408,0.92,3.048,0.3747999966144562,0.975
662538498282258176,0.26,3.285,0.2700999975204468,1.039
661416893342268672,22.77,1.29,,6.623
658156527832150400,1.04,3.031,,0.937
677975641541260416,28.91,1.107,0.23749999701976776,4.951
660678429548883968,1.52,3.091,0.44369998574256897,1.025
657785717535594112,0.31,3.253,0.3483000099658966,0.995
665185774388058752,0.35,3.131,0.34450000524520874,1.018
664445532480726912,23.49,2.23,0.2685000002384186,0.982
610158378513683712,0.3,3.191,0.5443000197410583,1.009
663781564897118592,12.95,1.585,0.17229999601840973,1.034
612468658601702272,1.79,3.281,0.3837999999523163,0.916
611711030666633216,23.3,2.59,0.34049999713897705,1.106
664946836767421696,0.66,3.092,0.4032000005245209,0.966
660553978576244736,0.25,3.236,,2.037
665785802795255808,1.13,0.591,0.0012000000569969416,6.5
677917607937780224,14.11,1.751,0.24050000309944153,1.212
685766025015273856,9.51,1.243,0.029100000858306885,0.992
658694566974774656,2.06,3.207,,1.0
685792688172260608,1.54,2.981,0.38109999895095825,1.067
658736180914476672,2.39,2.575,0.29429998993873596,1.01
689060883406994048,4.12,2.585,0.31779998540878296,0.985
661210666194127360,17.68,1.691,0.20890000462532043,1.024
662045092440012288,16.89,1.889,0.2775000035762787,1.033
660191934309271424,2.34,3.081,0.453900009393692,1.006
