index,TIC,GaiaID,bp_rp_corr,Median_Period,Period_err,LC_source,ra,dec,l,b,ecl_lon,ecl_lat,pmra,pmdec,phot_g_mean_mag,ag_gspphot,bp_rp,ebpminrp,parallax,distance_gspphot,ruwe,radial_velocity,radial_velocity_error,vbroad,x,y,z,Type,HD,Vmag,B-V,V-I,MemF,comments,Voff(km/s),Vr(pred),rvdiff_x,simbadrvmem,rvdiff_y
1638,99446,6228798899669063424,0.7874550499999999,15.876612771949478,1.7707014036052104,QLP,221.9250618174528,-26.07430060974138,333.1510590482489,29.88849795159273,227.34901146749613,-9.470417085745312,38.45618522190317,-9.086038480426078,9.846774,0.1596,0.87275505,0.0853,10.467586161106729,95.3528,0.9777872,-0.38540184,0.24864033,,73.89811259495595,-37.40788576135734,47.605407179730655,,,,,,,,4.64887841277479,6.097765108506001,6.4831669485060015,,
17,5720689,107114427073651584,1.2801355,5.6677820715864975,0.0,SPOC,33.13221857482144,26.864121179234587,144.45551000838876,-32.595961803446194,40.01165135407147,12.746466516917843,-28.62997201809765,-25.90280565553509,11.25318,0.046,1.3042355,0.0241,11.846275814552495,84.4079,0.9851537,-5.6158547,0.5327569,12.988848,-57.86665745748324,41.34371795423242,-45.475170104420606,,,,,,,,3.824485671868018,-4.337236320189286,1.2786183798107142,,
1018,5976776,3614856480195250176,0.4279161,,,,213.13961431679783,-9.9001433990718,333.6626029211616,48.072217938433006,214.2906290978654,3.2374963086048862,40.65781166928721,-14.083047861452256,7.108076,0.0021,0.4290161,0.0011,13.56310098411366,73.6232,1.1496656,-0.9737715,0.9091045,49.9548,44.1516242088414,-21.856960426399155,54.85380041955685,,,,,,,,3.287744237906902,2.050192026824215,3.0239635268242147,,
1654,6028019,6304598131775309056,2.1857072,,,,213.9762024980645,-11.045895580619888,333.9525440617672,46.6754601041196,215.4483218487921,2.4297073456249416,91.12681844861028,-49.38075488593422,11.404997,0.0084,2.1907072,0.005,30.4563796283656,32.964,1.1644791,1.5077666,0.34523478,,20.240101662347385,-9.892517581742602,23.88593005575377,,,,,,,,0.7115915804553138,2.4074945429526844,0.8997279429526843,,
630,7679229,2116305144665376896,1.6130212,13.46823311394908,1.797817173414316,SPOC,272.9905767022223,46.23311995667211,73.7515258717311,25.77310887875244,275.9456451774854,69.61068562180843,50.864900678763945,-87.35119642750792,10.516365,0.153,1.6954212,0.0824,26.830990378584875,37.1622,1.013739,2.3789566,0.23280753,5.280722,9.390984806598237,32.222203456444994,16.205458350963127,,,,,,,,2.848790726706477,2.294473428073235,0.0844831719267649,,
1338,7784304,4864396740163583616,2.4988452000000003,0.07891714249793204,0.03308924013348463,SPOC,67.26896735866003,-39.38833526490561,242.7128925941021,-43.60392486838045,53.36428457496133,-59.96942183479113,-60.501453831105344,-89.5824827431681,12.21346,0.008,2.5038452,0.005,35.48689840483438,28.2994,1.1603072,-0.445619,0.2963852,5.1045284,-9.354850614116945,-18.13470213070501,-19.434472446165405,,,,,,,,2.844992176016888,-0.9726004533562548,0.5269814533562548,,
631,7899784,2121251671383252096,1.3264484,5.399852644135297,1.0929578912985836,SPOC,275.6220340820531,45.781420410939965,73.76024289674118,23.89051309995224,280.9936101665032,69.0062508949283,20.401335969669976,-28.84545759371328,11.770844,0.1906,1.4261484,0.0997,11.029539655009188,90.5268,0.994106,-1.697956,0.42197734,6.0528994,23.182891551408616,79.58985777747547,36.71868580926521,,,,,,,,3.8068841189835982,2.6014293565360047,4.299385356536005,,
383,8309423,1329047500553197568,1.3320372,6.068853466338259,1.6242808501315413,SPOC,245.076132984922,35.09157500944643,56.57084637237819,45.09687612298905,232.6688575869246,55.346876885050726,37.74592072494288,-50.53764358308675,10.896994,0.0821,1.3750372,0.043,14.843664501880689,67.3704,1.1046761,-0.76673186,0.23343822,6.924177,26.19904127899083,39.68897385004651,47.71741850505164,,,,,,,,4.9225608042305495,1.4957999216021085,2.2625317816021084,,
382,8625175,1327719256146852608,0.92642355,6.0246263482843485,1.892033904485983,SPOC,248.21931276584016,35.07509101268639,56.89814686398236,42.53567125753533,237.05972340455028,56.05061121028375,87.52325009514405,-62.437127607109645,8.039841,0.0,0.92642355,0.0,29.00309224772668,34.4622,1.068575,0.9355812,0.13301927,6.0241947,13.875030528408198,21.282749153174542,23.30955215609822,,,,,,,,3.817792838127781,1.9925859478066463,1.0570047478066464,,
66,9136924,278135454958676352,0.75147803,2.9000973319045085,0.13093747019347113,QLP,67.60968241514279,56.4598997738072,149.88864587755322,5.523853786360382,75.2652334208377,34.160282212155465,-26.54261232861143,3.870527429838468,9.167853,0.0101,0.75697803,0.0055,10.91787417952277,92.4869,9.073157,-12.573069,0.44461387,17.904448,-78.86470257645412,45.737151409867366,8.816748850799966,,,,,,,,0.8505034900719725,-11.518407226880178,1.0546617731198218,,
