GaiaID,TIC,HD,index,ra,dec,l,b,ecl_lon,ecl_lat,pmra,pmdec,bp_rp,ebpminrp,bp_rp_corr,phot_g_mean_mag,ag_gspphot,parallax,distance_gspphot,ruwe,vbroad,x,y,z,radial_velocity,radial_velocity_error,Voff(km/s),Vr(pred),rvdiff,Type,Vmag,Median_Period,Period_err,LC_source,Period_notes,B-V,V-I,MemF,comments,Teff,Median_rot_age,Median_rot_up_err,Median_rot_low_err,peak_rot_age
107114427073651584,5720689,,17.0,33.13221857482144,26.864121179234587,144.45551000838876,-32.595961803446194,40.01165135407147,12.746466516917843,-28.62997201809765,-25.90280565553509,1.3042355,0.0241,1.2801355,11.25318,0.046,11.846275814552495,84.4079,0.9851537,12.988848,-57.86665745748324,41.34371795423242,-45.475170104420606,-5.6158547,0.5327569,3.824485671868018,-4.337236320189286,1.2786183798107142,,,10.536632310861028,0.4446198693796175,QLP,QLP has best fitsm excl sec 85,,,,,4600.0,797.9,449.89,417.97,670.5410821643287
1092545710514654464,417762326,72905.0,316.0,129.79848216263676,65.02129699890843,150.55127611012884,35.70399283596731,112.32495031002992,44.63685744584888,-27.27447101767192,87.88083046986,0.804358,0.0,0.804358,5.4989767,0.0,69.2575995687921,14.4485,1.1658813,12.0587015,-10.210052132875743,5.7645134528773925,8.426480359677658,-13.056344,0.11686565,4.8337200798309725,-13.268751867928373,0.2124078679283734,Probable Activity-Based Members,5.64,4.979628298357521,0.0992367114732477,QLP,"QLP has best fits, excl 74",0.616,0.66,Y?,,5860.0,377.12,270.27,161.04,342.28456913827654
1231859400030491136,310395457,,363.0,213.56826872549308,15.359967105633144,5.691846102451727,67.44803499934808,205.5340266442238,27.07212054825447,20.903366868817745,-15.924959744508794,0.8901777,0.0336,0.8565777,10.132625,0.0631,10.254169332303409,97.1042,0.92475724,8.381123,37.21708778758626,3.709410069772922,90.06405530733221,-2.0040686,0.3217397,4.033175764118792,-1.525460545491936,0.478608054508064,,,9.123784835976329,0.0,TESS-SPOC,TESS-SPOC sec 50 has best fits,,,,,5660.0,850.81,416.48,291.41,756.5130260521042
1419999819661235840,198381445,,402.0,257.55214149873774,54.489682632205245,82.2667104264027,36.310291818356106,237.5089878312184,76.52156874790214,86.45009445736092,-103.34307410290272,1.5341768,0.0002,1.5339768,8.8505745,0.0003,47.06917936052006,21.2087,0.9661323,11.463528,2.303693428649591,16.964245766169025,12.580587617206064,2.1025295,0.1425936,2.628835754655197,-1.0391843057121202,3.1417138057121203,,,11.6,1.2,QLP,From Capistrant paper,,,,,4300.0,915.88,526.1,484.27,670.5410821643287
143872711402992384,149852612,,22.0,44.68584817298675,40.0722177217886,147.83081489575574,-16.565569347509065,54.03479018605087,22.121813833396725,-56.4877095456241,-16.947420905232924,1.0811844,0.0,1.0811844,9.558518,0.0,20.826148387796465,47.9396,1.2110039,,-38.95803028578028,24.5039294368182,-13.690118184136074,-6.039022,0.31173083,0.5348271306316249,-7.94115771657348,1.90213571657348,,,9.5,1.0,SPOC,From Capistrant paper,,,,,5100.0,731.0,347.9,338.73,686.1723446893787
1568325591812472320,157871496,,440.0,191.0878845142964,52.175338207944016,125.4951704620072,64.91762901898505,161.10393673629088,50.4998935125504,36.00964506959337,3.484459603939829,1.534421,0.0051,1.529321,11.687887,0.0096,13.284748046850742,75.4108,1.0928621,6.76171,-18.528236561685915,25.98026155924731,68.17587149606271,-9.177508,0.3905487,2.805833567919247,-9.398447707956706,0.2209397079567061,,,11.47020643675048,0.3074200691273159,QLP,"QLP sec 15, 22, 48 has best fits",,,,,4300.0,898.47,521.64,479.53,670.5410821643287
1581924111105411840,224290262,,452.0,183.3572861712501,59.627589091864486,131.7115866580462,56.84806835774117,147.94982788085477,53.45049544312472,33.54368611886976,3.258072728201274,1.1551485,0.0029,1.1522485,10.510773,0.0055,14.377099631323878,69.3577,0.9818826,8.528086,-25.30907669834604,28.394722000166563,58.23312206035796,-6.114129,0.24970734,1.0483367831675854,-10.373436802654467,4.259307802654467,,,11.628093767498562,0.3844417891571741,QLP,QLP has best fits,,,,,5100.0,1046.04,379.28,415.81,1116.0320641282565
1616657649067892736,202489696,,466.0,229.5981139548988,62.157810907220345,98.5473145142198,47.41674414414561,175.19983288883236,72.31560417803155,37.49544278125567,-10.240210049525814,0.68859005,0.0003,0.68829005,8.468633,0.0006,13.317129378570344,75.0231,0.97900516,15.97284,-7.551886413842429,50.2469750041567,55.28930787470357,-2.8288388,0.16172597,4.229926971885802,-5.3346445185162965,2.5058057185162963,,,3.4418476423899413,0.0665399868639897,TESS-SPOC,TESS-SPOC has best fits,,,,,6180.0,378.0,474.75,171.45,264.12825651302603
1651645517813056384,441811910,,478.0,266.9098890236321,73.13237674091611,104.04213447243356,30.486048360877835,97.75658414708064,83.34485369365841,53.22067192423095,-68.15808961510615,0.75961685,0.0,0.75961685,7.617218,0.0,24.266096451289663,41.1534,0.9075041,11.083997,-8.616618333391656,34.45141857043919,20.906887124476864,-4.9070864,0.1264052,2.862947477319681,-4.732087953308071,0.1749984466919292,,,5.845250435156174,0.2300909462996809,TESS-SPOC,TESS-SPOC has best fits,,,,,5990.0,725.54,865.96,315.34,498.59719438877755
1738269854212128512,459686707,,511.0,314.8916406466567,8.701840457175289,56.96718190256289,-23.42977371034385,320.14838867455745,24.66844068729032,-5.429523139992638,-34.76009842779395,1.2725286,0.0002,1.2723286,10.289339,0.0003,18.06518832164813,55.2111,0.8549308,13.267991,27.68712968825967,42.581025327654565,-22.010550924711733,9.995499,0.26919526,2.2689746956526395,11.764329840468584,1.768830840468583,,,10.84073007,0.0,QLP,,,,,,4830.0,877.89,416.82,417.64,920.6412825651303
